gene	annotation	no_sequences	aln_len	pos_count	pos_per_codon	mean_n_dev_pos	stdev_n_dev_pos	max_n_dev
HPHECO_04185	argininosuccinate synthase	124	448	2	0.004	0.5	0.235	0.666
CLFGNL_10715	hypothetical protein	5	126	27	0.214	0.345	0.191	0.666
GONEAM_04715	LPS export ABC transporter permease LptF	125	372	3	0.008	0.481	0.17	0.666
DKMLDN_09165	hypothetical protein	123	123	2	0.016	0.5	0.235	0.666
DFBINA_09595	tRNA dihydrouridine synthase DusB	125	335	4	0.012	0.361	0.229	0.666
FPFEIB_10960	P(-)rp(+) fimbrial protein	2	141	17	0.121	0.287	0.162	0.666
GHKIBE_01440	methionyl-tRNA formyltransferase	121	309	6	0.019	0.462	0.247	0.666
CEMIJF_06585	orotidine-5'-phosphate decarboxylase	125	277	9	0.032	0.493	0.208	0.666
CLFGNL_00245	PilC family type IV pilus tip adhesin	2	1049	91	0.087	0.27	0.174	0.666
FPKBML_10000	Outer membrane protein P1	25	56	1	0.018	0.666		0.666
PNIJEF_03285	Putative sugar transporter	125	241	3	0.012	0.444	0.192	0.666
PNIJEF_03865	hypothetical protein	3	98	1	0.01	0.666		0.666
FLPKAP_05950	hypothetical protein	5	65	6	0.092	0.555	0.172	0.666
EFGCPC_01900	Hsp33 family molecular chaperone HslO	125	303	1	0.003	0.666		0.666
GEEBOD_10195	SMI1-KNR4 domain-containing protein	53	124	2	0.016	0.388	0.392	0.666
FNBPCP_06295	transglycosylase	125	209	2	0.01	0.499	0.235	0.666
DPNOOC_03145	polyphosphate kinase 1	125	686	4	0.006	0.444	0.272	0.666
DDFKJF_00335	TspA protein	96	506	4	0.008	0.5	0.192	0.666
GHKIBE_07490	Type II restriction enzyme NgoMIV	125	289	9	0.031	0.321	0.161	0.666
PNIJEF_10375	hypothetical protein	4	163	13	0.08	0.333	0.187	0.666
EFGCPC_10810	dethiobiotin synthase	125	216	1	0.005	0.666		0.666
HEEDGJ_06510	ketol-acid reductoisomerase	125	338	1	0.003	0.666		0.666
IPDDEA_09310	cysteine--tRNA ligase	125	476	1	0.002	0.666		0.666
AKGBFI_03085	Acetyltransferase	2	166	14	0.084	0.277	0.155	0.666
LGFMJF_08685	RNA polymerase-binding protein DksA	125	139	4	0.029	0.36	0.21	0.666
NKPBLJ_04880	pilin	6	246	42	0.171	0.325	0.187	0.666
FPKBML_03990	Outer membrane protein	3	106	5	0.047	0.333	0.235	0.666
DPOILH_10095	DNA-directed RNA polymerase subunit beta'	125	1392	2	0.001	0.499	0.235	0.666
NEILBB_01930	tRNA dihydrouridine(20/20a) synthase DusA	125	349	9	0.026	0.247	0.19	0.666
DBIOJN_01475	DNA polymerase III subunit epsilon	125	245	2	0.008	0.499	0.235	0.666
AMHIEJ_09580	transketolase	125	660	3	0.005	0.444	0.192	0.666
FLPKAP_03225	Pilin	3	62	11	0.177	0.293	0.159	0.666
BDBLMF_09390	pilin	2	175	22	0.126	0.298	0.183	0.666
DFBINA_01025	geranyl transferase	125	299	7	0.023	0.381	0.168	0.666
AFIEGL_05405	hypothetical protein	125	257	25	0.097	0.302	0.149	0.666
IECMBI_11565	Resolvase	3	134	2	0.015	0.444	0.314	0.666
LIFIJF_09955	paraslipin	125	324	5	0.015	0.533	0.199	0.666
JJNNBF_00005	hypothetical protein	2	246	4	0.016	0.277	0.264	0.666
AMHIEJ_00445	Carbonic anhydrase	125	253	2	0.008	0.499	0.235	0.666
IECMBI_09655	IS1016 transposase	123	167	2	0.012	0.389	0.392	0.666
LKENIL_10285	Na(+)-translocating NADH-quinone reductasesubunit C	125	259	1	0.004	0.666		0.666
CLFGNL_04645	hypothetical protein	121	281	6	0.021	0.296	0.218	0.666
KGFFKI_06640	Phenylalanine--tRNA ligase beta subunit	125	788	8	0.01	0.347	0.201	0.666
FLPKAP_06940	argininosuccinate lyase	125	459	7	0.015	0.333	0.17	0.666
MPNNBP_07925	agmatinase	125	350	7	0.02	0.317	0.186	0.666
CEMIJF_08905	DUF3577 domain-containing protein	46	151	1	0.007	0.666		0.666
PDCJLA_09325	alcohol dehydrogenase	120	348	7	0.02	0.349	0.149	0.666
CJNHGO_05120	hypothetical protein	12	355	3	0.008	0.444	0.222	0.666
OJCHKC_04415	hypothetical protein	5	970	9	0.009	0.382	0.185	0.666
IEGIFK_08720	MafB alternative C terminus	17	126	7	0.056	0.285	0.201	0.666
BDBLMF_04560	conjugal transfer protein	37	373	6	0.016	0.37	0.181	0.666
CLFGNL_08050	MafB silent cassette	2	288	10	0.035	0.355	0.233	0.666
DNHNFJ_08905	Large pilS cassette	2	423	31	0.073	0.204	0.125	0.666
MPNNBP_10135	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	125	292	2	0.007	0.444	0.314	0.666
GHKIBE_01630	twitching motility protein PilT	125	348	10	0.029	0.377	0.175	0.666
FPKBML_07665	Pilin	2	157	15	0.096	0.34	0.216	0.666
LKENIL_10780	tRNA (uridine(54)-C5)-methyltransferase TrmA	125	363	1	0.003	0.666		0.666
JMBIMI_09240	Pilin	2	194	20	0.103	0.272	0.167	0.666
IECMBI_09860	hypothetical protein	6	131	1	0.008	0.666		0.666
KGFFKI_08985	pantetheine-phosphate adenylyltransferase	125	174	4	0.023	0.333	0.24	0.666
AAJHJC_03165	Putative phage replication initiation protein	3	109	7	0.064	0.349	0.175	0.666
BFPELO_04330	chromosome partitioning protein ParB	42	507	2	0.004	0.388	0.392	0.666
HPHECO_11355	ADP-dependent (S)-NAD(P)H-hydrate dehydratase	125	297	18	0.061	0.321	0.126	0.666
HJAEIG_04445	ABC-2 family transporter protein	125	277	1	0.004	0.666		0.666
BNBOEA_02960	Fic/DOC family	122	232	1	0.004	0.666		0.666
ELOKED_04395	disulfide bond formation protein DsbA	41	240	7	0.029	0.539	0.162	0.666
FLIFPJ_02820	hypothetical protein	3	202	15	0.074	0.266	0.156	0.666
AMHIEJ_04090	Pilin	2	110	4	0.036	0.361	0.21	0.666
HJAEIG_09335	Four-helix bundle copper-binding protein	125	152	3	0.02	0.296	0.32	0.666
PMGANF_00100	Cryptic plasmid protein C	12	206	3	0.015	0.591	0.128	0.666
HEEDGJ_07335	ribosome biogenesis GTPase YlqF	125	315	2	0.006	0.499	0.235	0.666
CIKFOC_06050	pilin	5	77	13	0.169	0.307	0.17	0.666
IEGIFK_07475	pilin	3	85	8	0.094	0.375	0.196	0.666
HEEDGJ_10125	anthranilate synthase component I	123	499	13	0.026	0.35	0.202	0.666
BOOKHB_00535	Type IV major pilin protein PilE1	2	190	15	0.079	0.229	0.148	0.666
OFCCKL_01080	DUF4065 domain-containing protein	97	180	2	0.011	0.499	0.235	0.666
HEEDGJ_07005	hypothetical protein	5	152	2	0.013	0.444	0.314	0.666
HEEDGJ_10615	squalene synthase HpnC	125	271	1	0.004	0.666		0.666
GONEAM_06375	Phage associated protein	11	52	2	0.038	0.555	0.157	0.666
FLIFPJ_08925	hypothetical protein	5	176	1	0.006	0.666		0.666
OIJOPB_11375	cell division protein ZapE	125	384	1	0.003	0.666		0.666
HPHECO_05885	membrane protein insertase YidC	125	546	6	0.011	0.388	0.23	0.666
LKENIL_07230	DNA (cytosine-5-)-methyltransferase	125	334	1	0.003	0.666		0.666
FLIFPJ_10315	P(-)rp(+) fimbrial protein	2	168	14	0.083	0.262	0.155	0.666
EFGCPC_05125	Acetate kinase 1	125	399	3	0.008	0.407	0.279	0.666
EFGCPC_06690	exodeoxyribonuclease VII large subunit	125	475	17	0.036	0.379	0.229	0.666
DCBGBN_04010	hypothetical protein	2	325	11	0.034	0.293	0.151	0.666
JPGGPH_02755	hypothetical protein	2	42	4	0.095	0.305	0.262	0.666
PDBIIP_04505	autotransporter outer membrane beta-barreldomain-containing protein	125	873	4	0.005	0.583	0.166	0.666
BFPELO_04490	Yda	44	205	6	0.029	0.352	0.163	0.666
GHKIBE_11065	phosphate permease	125	525	8	0.015	0.277	0.178	0.666
DCGKFM_00120	HMP-PP phosphatase	125	115	4	0.035	0.472	0.229	0.666
IPPGFL_00880	pilin	8	287	33	0.115	0.326	0.188	0.666
IPDDEA_05280	trigger factor	125	437	3	0.007	0.444	0.192	0.666
FPKBML_06010	hypothetical protein	5	80	10	0.125	0.333	0.203	0.666
FOGPJI_00450	cupin domain-containing protein	125	385	8	0.021	0.305	0.176	0.666
HJAEIG_01490	Putative ankyrin repeat protein NMB1133/NMB1171	125	253	4	0.016	0.361	0.229	0.666
IPDDEA_08800	exodeoxyribonuclease VII small subunit	125	104	2	0.019	0.499	0.235	0.666
FLPKAP_04230	hypothetical protein	3	331	4	0.012	0.388	0.192	0.666
DPNOOC_09550	pilin	2	79	7	0.089	0.285	0.191	0.666
GMLLLN_00740	UPF0213 protein NMB0361	125	92	2	0.022	0.666	0.0	0.666
OIJOPB_01190	alkylphosphonate utilization protein	125	110	1	0.009	0.666		0.666
HEPKNL_02155	elongation factor G	125	702	5	0.007	0.4	0.256	0.666
JJNNBF_08940	pilin	15	131	3	0.023	0.37	0.256	0.666
FOGPJI_07680	Histidinol-phosphatase	124	223	4	0.018	0.388	0.231	0.666
JPGGPH_02740	Large pilS cassette	2	239	10	0.042	0.355	0.227	0.666
LGFMJF_01505	Phage associated protein	121	179	2	0.011	0.5	0.235	0.666
DCGKFM_04450	A/G-specific adenine glycosylase	125	347	3	0.009	0.555	0.192	0.666
EBIOOC_05670	cytochrome C nitrite reductase	28	333	17	0.051	0.287	0.18	0.666
GILMCH_10570	8-amino-7-oxononanoate synthase	125	381	5	0.013	0.533	0.199	0.666
GONEAM_04195	DNA-mimic protein DMP19	125	166	1	0.006	0.666		0.666
GONEAM_07665	Phage integrase	125	83	1	0.012	0.666		0.666
IJDKON_01910	Putative phage integrase	88	259	2	0.008	0.499	0.235	0.666
IECMBI_07810	Membrane protein	123	76	4	0.053	0.416	0.229	0.666
DFBINA_07760	cytochrome-c oxidase, cbb3-type subunit III	125	440	3	0.007	0.481	0.17	0.666
JEAGGN_10640	hypothetical protein	2	201	2	0.01	0.388	0.392	0.666
DFBINA_02070	transcription termination factor Rho	125	420	1	0.002	0.666		0.666
GHKIBE_06165	sodium-dependent transporter	122	457	3	0.007	0.407	0.231	0.666
DPNOOC_10565	outer membrane beta-barrel protein	2	124	14	0.113	0.309	0.132	0.666
HBDHPE_04685	hypothetical protein	43	146	2	0.014	0.444	0.314	0.666
LGFMJF_10545	transcriptional repressor NrdR	125	155	14	0.09	0.293	0.142	0.666
GHKIBE_10935	Outer membrane protein P-IIC	3	238	17	0.071	0.307	0.164	0.666
LJCBIJ_06575	hypothetical protein	2	434	9	0.021	0.395	0.216	0.666
CPFJAA_01140	DeoR family transcriptional regulator	125	260	11	0.042	0.323	0.175	0.666
CLFGNL_08285	arsenate reductase (glutaredoxin)	125	118	3	0.025	0.296	0.32	0.666
FLIFPJ_06980	hypothetical protein	5	61	1	0.016	0.666		0.666
AFIEGL_01750	DUF1281 domain-containing protein	45	260	5	0.019	0.311	0.241	0.666
ODMHAO_05630	Acriflavin resistance protein	2	597	11	0.018	0.323	0.153	0.666
HJAEIG_10005	LPS export ABC transporter permease LptG	125	377	15	0.04	0.37	0.171	0.666
LMPAAK_05840	MafB-like protein	2	247	10	0.04	0.266	0.183	0.666
FNBPCP_07985	3-isopropylmalate dehydratase small subunit	125	254	1	0.004	0.666		0.666
MCBNGC_09100	Opacity protein opA54	2	271	14	0.052	0.285	0.183	0.666
PMGANF_09920	DNA topoisomerase III	43	680	13	0.019	0.376	0.22	0.666
BGAEOD_00055	hypothetical protein	123	99	2	0.02	0.389	0.392	0.666
LCAGDG_06305	hypothetical protein	122	108	2	0.019	0.444	0.314	0.666
AAJHJC_10955	hypothetical protein	57	144	5	0.035	0.399	0.216	0.666
KGFFKI_08335	glutamate-1-semialdehyde 2,1-aminomutase	125	427	1	0.002	0.666		0.666
LBAEBK_04835	Aldose 1-epimerase	110	98	5	0.051	0.399	0.255	0.666
MPNNBP_07105	peptide chain release factor 1	125	359	2	0.006	0.499	0.235	0.666
CEMIJF_00305	outer membrane beta-barrel protein	3	139	10	0.072	0.277	0.159	0.666
LCAGDG_02315	Elongation factor Tu	3	151	5	0.033	0.377	0.279	0.666
DKMLDN_02775	NADH-quinone oxidoreductase subunit J	125	224	6	0.027	0.37	0.152	0.666
IECMBI_02145	site-specific integrase	123	330	1	0.003	0.666		0.666
HEIKPG_07480	assimilatory sulfite reductase (NADPH)flavoprotein subunit	4	574	12	0.021	0.296	0.173	0.666
FLPKAP_10790	recombinase	125	670	4	0.006	0.499	0.192	0.665
CEMIJF_08895	YedA	44	219	5	0.023	0.31	0.227	0.665
DBIOJN_02205	hypothetical protein	5	233	5	0.021	0.311	0.165	0.555
GBEPFH_00590	putative protein	120	107	1	0.009	0.555		0.555
FLPKAP_08800	cytochrome c oxidase accessory protein CcoG	125	499	1	0.002	0.555		0.555
CPFJAA_08510	fatty acid resistance MFS efflux transporteradaptor subunit FarA	125	385	2	0.005	0.444	0.157	0.555
DFBINA_06700	Glutamate dehydrogenase	125	137	1	0.007	0.555		0.555
IEGIFK_03475	Phage associated protein	11	63	2	0.032	0.444	0.157	0.555
NNPMCJ_09975	putative protein	122	113	1	0.009	0.555		0.555
PNIJEF_06880	histidinol phosphate phosphatase	50	71	1	0.014	0.555		0.555
BFPELO_04970	Phage associated protein	125	47	3	0.064	0.37	0.17	0.555
HJAEIG_05445	MafB silent cassette	125	134	1	0.007	0.555		0.555
BOOKHB_11545	hypothetical protein	13	64	1	0.016	0.555		0.555
AAPKIE_04185	gamma carbonic anhydrase family protein	124	177	2	0.011	0.333	0.157	0.444
BFPELO_08155	hypothetical protein	37	77	1	0.013	0.444		0.444
OJCHKC_07315	hypothetical protein	2	152	4	0.026	0.305	0.14	0.444
DPNOOC_08795	hypothetical protein	123	120	1	0.008	0.444		0.444
FLPKAP_01275	Re/Si-specific NAD(P)(+) transhydrogenase subunitbeta	125	462	1	0.002	0.444		0.444
PDCJLA_09895	Oxidoreductase	2	77	4	0.052	0.277	0.143	0.444
AAJHJC_06885	OmpA family	125	226	1	0.004	0.444		0.444
ODMHAO_03310	Transcriptional regulator AcaB	42	350	4	0.011	0.333	0.128	0.444
FOGPJI_06700	phosphoglycolate phosphatase	124	237	1	0.004	0.444		0.444
JDLPOL_07765	hypothetical protein	2	102	4	0.039	0.333	0.091	0.444
CEMIJF_08865	hypothetical protein	3	143	4	0.028	0.333	0.091	0.444
NCAMBD_08015	Sulfate/thiosulfate import ATP-binding proteinCysA	125	359	1	0.003	0.444		0.444
CEMIJF_04825	hemolysin D	41	425	3	0.007	0.259	0.17	0.444
KGFFKI_04185	cell envelope biogenesis protein OmpA	42	174	2	0.011	0.388	0.079	0.444
DPOILH_00570	N-acetyl-gamma-glutamyl-phosphate reductase	125	348	3	0.009	0.37	0.064	0.444
JJNNBF_03015	hypothetical protein	2	308	1	0.003	0.444		0.444
GONEAM_01830	exodeoxyribonuclease III	125	260	1	0.004	0.444		0.444
BOOKHB_10820	hypothetical protein	2	136	1	0.007	0.444		0.444
CEMIJF_03600	Transmembrane transporter	2	280	4	0.014	0.25	0.166	0.444
NNPMCJ_00620	lipopolysaccharide transport periplasmic proteinLptA	125	177	10	0.056	0.255	0.118	0.444
FLPKAP_10960	ATP-dependent Clp endopeptidase proteolyticsubunit ClpP	125	205	1	0.005	0.444		0.444
FLPKAP_06780	Anthranilate phosphoribosyltransferase	125	343	1	0.003	0.444		0.444
IECMBI_03280	methyltransferase	125	223	1	0.004	0.444		0.444
FPKBML_06490	hypothetical protein	2	143	7	0.049	0.285	0.126	0.444
OEJBCO_11370	Bro-N domain-containing protein	2	271	5	0.018	0.311	0.093	0.444
OIJOPB_10210	hypothetical protein	2	97	4	0.041	0.305	0.106	0.444
HEPKNL_07885	hypothetical protein	2	232	9	0.039	0.284	0.098	0.444
HEEDGJ_04030	hypothetical protein	2	548	2	0.004	0.389	0.078	0.444
AKGBFI_07770	nickel-dependent hydrogenase b-type cytochromesubunit	125	219	9	0.041	0.284	0.113	0.444
FPFEIB_03780	Ydi	47	86	1	0.012	0.444		0.444
GHKIBE_04825	translation elongation factor 4	125	598	2	0.003	0.277	0.235	0.444
AAJHJC_10945	DNA polymerase III subunit alpha	124	1145	10	0.009	0.255	0.118	0.444
CEEHEF_03530	hypothetical protein	42	59	1	0.017	0.444		0.444
FLPKAP_04305	hypothetical protein	2	299	6	0.02	0.259	0.134	0.444
DEODPA_02435	Phage associated protein	116	50	2	0.04	0.388	0.078	0.444
LIFIJF_06445	putative FKBP-type peptidyl-prolyl cis-transisomerase FkpA	125	273	2	0.007	0.277	0.235	0.444
OIJOPB_11210	ribosome alternative rescue factor ArfA	125	74	2	0.027	0.444	0.0	0.444
DBIOJN_04180	LPS export ABC transporter ATP-binding protein	125	245	5	0.02	0.311	0.093	0.444
NNPMCJ_07610	hypothetical protein	108	126	2	0.016	0.277	0.235	0.444
KMNMBO_05555	single-stranded-DNA-specific exonuclease RecJ	124	568	4	0.007	0.305	0.14	0.444
GHKIBE_09015	SIR2-2 domain-containing protein	122	501	4	0.008	0.305	0.14	0.444
JJNNBF_01245	phage tail protein I	40	188	2	0.011	0.388	0.078	0.444
APANNK_09460	hypothetical protein	20	92	1	0.011	0.444		0.444
FLPKAP_03025	indole-3-glycerol phosphate synthase TrpC	125	261	1	0.004	0.444		0.444
FNBPCP_10475	protein translocase subunit SecF	125	312	3	0.01	0.296	0.17	0.444
PDBIIP_08890	AAA family ATPase	3	221	1	0.005	0.444		0.444
LKENIL_04365	Putative sulfur carrier protein NMB0681	125	75	4	0.053	0.305	0.14	0.444
DBIOJN_05220	tRNA(uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	125	155	4	0.026	0.305	0.14	0.444
IPDDEA_04310	AI-2E family transporter	125	357	2	0.006	0.277	0.235	0.444
AAJHJC_06215	ubiquinone biosynthesis regulatory protein kinaseUbiB	125	509	13	0.026	0.316	0.089	0.444
HLLAKN_03275	hypothetical protein	4	128	16	0.125	0.222	0.091	0.444
JDLPOL_04845	hypothetical protein	89	139	6	0.043	0.277	0.153	0.444
CEMIJF_05515	polyamine ABC transporter permease	125	296	1	0.003	0.333		0.333
KGFFKI_01330	serine O-acetyltransferase	125	273	5	0.018	0.244	0.093	0.333
KMNMBO_05300	Type II restriction enzyme NgoFVII	125	346	3	0.009	0.222	0.111	0.333
IECMBI_10690	MFS domain-containing protein	125	208	1	0.005	0.333		0.333
IECMBI_11405	conjugal transfer protein TrbF	7	236	3	0.013	0.259	0.128	0.333
PNIJEF_10070	isomerase/hydrolase	125	219	8	0.037	0.166	0.084	0.333
JCPBFJ_08760	phosphopyruvate hydratase	125	429	1	0.002	0.333		0.333
BCKFAO_01775	conjugal transfer protein TraI	43	853	8	0.009	0.208	0.093	0.333
OIJOPB_03400	membrane protein insertion efficiency factorYidD	125	74	2	0.027	0.333	0.0	0.333
DCGKFM_02805	fimb protein	125	262	1	0.004	0.333		0.333
FLIFPJ_04065	hypothetical protein	2	66	3	0.045	0.296	0.064	0.333
NADGGK_08605	lytic transglycosylase	40	154	2	0.013	0.333	0.0	0.333
DFBINA_01375	type IV pilus assembly ATPase protein	125	559	2	0.004	0.222	0.157	0.333
FDOLEH_03670	hypothetical protein	2	71	2	0.028	0.333	0.0	0.333
OJCHKC_11670	KfrC	7	179	1	0.006	0.333		0.333
HMKGBL_09495	ABC transporter ATP-binding protein MntA	125	252	2	0.008	0.222	0.157	0.333
IPDDEA_04630	hypothetical protein	124	56	1	0.018	0.333		0.333
JJNNBF_01565	conjugal transfer protein TraA	40	99	2	0.02	0.277	0.078	0.333
AOEIMC_10320	transcriptional regulator	124	80	1	0.013	0.333		0.333
EFGCPC_03415	hypothetical protein	124	180	1	0.006	0.333		0.333
IJDKON_06220	Biopolymer transport protein ExbD	125	145	1	0.007	0.333		0.333
PDBIIP_00170	hypothetical protein	2	129	2	0.016	0.333	0.0	0.333
IPPGFL_04045	ABC transporter transmembrane region	125	289	1	0.003	0.333		0.333
DBIOJN_03340	YadA-anchor domain-containing protein	122	162	1	0.006	0.333		0.333
HCCGLM_03635	lipoyl synthase	125	328	2	0.006	0.222	0.157	0.333
DBIOJN_03840	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	125	453	1	0.002	0.333		0.333
CPFJAA_05180	lytic murein transglycosylase B	125	420	2	0.005	0.333	0.0	0.333
GONEAM_03370	hypothetical protein	125	97	5	0.052	0.2	0.122	0.333
HJAEIG_09175	hypothetical protein	125	46	4	0.087	0.333	0.0	0.333
CPFJAA_04540	DUF3460 domain-containing protein	125	62	1	0.016	0.333		0.333
BCKFAO_01615	hypothetical protein	41	31	1	0.032	0.333		0.333
JCPBFJ_08600	Sulfite exporter TauE/SafE	125	269	3	0.011	0.333	0.0	0.333
FLPKAP_09035	hypothetical protein	3	142	1	0.007	0.333		0.333
AOEIMC_10000	conjugal transfer protein TraK	46	245	5	0.02	0.289	0.099	0.333
OPCPNN_04070	hypothetical protein	2	89	2	0.022	0.277	0.078	0.333
AFIEGL_11805	rep protein	26	81	1	0.012	0.333		0.333
IECMBI_03775	MotA-ExbB domain-containing protein	125	111	1	0.009	0.333		0.333
OIJOPB_07100	hypothetical protein	123	138	1	0.007	0.333		0.333
CEEHEF_07030	phospho-N-acetylmuramoyl-pentapeptide-transferase	125	361	1	0.003	0.333		0.333
HEIKPG_05015	apolipoprotein N-acyltransferase	125	530	8	0.015	0.236	0.11	0.333
FOGPJI_01280	ABC transporter	125	246	1	0.004	0.333		0.333
HEEDGJ_01235	NAD(P) transhydrogenase alpha subunit	2	145	2	0.014	0.333	0.0	0.333
HEEDGJ_05645	ComF family protein	123	188	1	0.005	0.333		0.333
IJDKON_02055	HNH endonuclease	122	173	2	0.012	0.277	0.078	0.333
LMPAAK_03695	Tail fiber protein	3	196	2	0.01	0.333	0.0	0.333
DPOILH_07250	hypothetical protein	5	288	2	0.007	0.333	0.0	0.333
LBAEBK_10155	adenylosuccinate synthase	125	434	4	0.009	0.249	0.106	0.333
AAPKIE_00630	Large pilS cassette	14	245	2	0.008	0.333	0.0	0.333
IECMBI_11385	P-type conjugative transfer ATPase TrbB	7	337	1	0.003	0.333		0.333
JCPBFJ_04215	Repetitive large surface protein	45	231	2	0.009	0.222	0.157	0.333
ALJDAG_03190	pilin	3	154	10	0.065	0.178	0.094	0.333
CEMIJF_01060	fumarate hydratase	7	508	4	0.008	0.166	0.111	0.333
APANNK_05705	stringent starvation protein A	125	202	1	0.005	0.333		0.333
ACIHAE_00180	DNA (cytosine-5-)-methyltransferase	123	380	3	0.008	0.296	0.064	0.333
BFPELO_09645	RDD family protein	125	194	1	0.005	0.333		0.333
KIIHOL_05770	hypothetical protein	16	92	1	0.011	0.333		0.333
FLIFPJ_11795	hypothetical protein	7	113	5	0.044	0.2	0.122	0.333
DPOILH_11300	P-type conjugative transfer protein TrbJ	7	259	1	0.004	0.333		0.333
IEGIFK_03845	guanosine-3',5'-bis(diphosphate)3'-pyrophosphohydrolase	125	719	5	0.007	0.289	0.061	0.333
GILMCH_02915	YadA-like family protein	50	271	1	0.004	0.333		0.333
BPBFBG_01645	Putative integral membrane protein	77	212	1	0.005	0.333		0.333
DDFKJF_03720	ABC-type bacteriocin/lantibiotic exporters,contain an N-terminal double-glycine peptidase domain	2	256	2	0.008	0.222	0.157	0.333
OJCHKC_04420	EppA	2	148	1	0.007	0.333		0.333
OEJBCO_10690	Large pilS cassette	2	286	9	0.031	0.222	0.111	0.333
OIJOPB_09955	lipoyl(octanoyl) transferase LipB	124	208	5	0.024	0.266	0.099	0.333
DBIOJN_10305	AzlC-like protein	63	114	2	0.018	0.333	0.0	0.333
BAEFEI_09565	Type II methyltransferase M-NgoBI	125	316	1	0.003	0.333		0.333
OEJBCO_05250	DNA-binding protein	5	98	1	0.01	0.333		0.333
DPOILH_11290	conjugal transfer protein TrbM	7	191	1	0.005	0.333		0.333
FOGPJI_01440	S-ribosylhomocysteine lyase	124	170	1	0.006	0.333		0.333
FOGPJI_08995	hypothetical protein	121	116	2	0.017	0.222	0.157	0.333
MCMGGC_00110	hypothetical protein	125	116	1	0.009	0.333		0.333
MPNNBP_00930	oligoribonuclease	125	188	2	0.011	0.222	0.157	0.333
AAPKIE_04025	Copper chaperone PCu(A)C	125	158	2	0.013	0.277	0.078	0.333
MCBNGC_11370	Methyl-accepting chemotaxis sensory transducer	64	67	1	0.015	0.333		0.333
BFPELO_03825	hypothetical protein	45	94	3	0.032	0.222	0.111	0.333
HMKGBL_09135	tRNA 2-thiouridine(34) synthase MnmA	125	384	1	0.003	0.333		0.333
ELOKED_05700	ppGpp synthetase catalytic domain (RelA/SpoT-typenucleotidyltranferase)	125	125	1	0.008	0.333		0.333
HJJNII_04895	DUF1311 domain-containing protein	125	338	1	0.003	0.333		0.333
KMNMBO_08095	succinate dehydrogenase, cytochrome b556 subunit	125	126	1	0.008	0.333		0.333
PNIJEF_06680	hypothetical protein	2	183	2	0.011	0.277	0.078	0.333
OIJOPB_09285	homoserine O-acetyltransferase	125	380	1	0.003	0.333		0.333
LMPAAK_02500	BRO family, N-terminal domain-containing protein	2	281	1	0.004	0.333		0.333
AFIEGL_10295	DUF502 domain-containing protein	122	235	1	0.004	0.333		0.333
CPFJAA_06445	hypothetical protein	3	73	1	0.014	0.333		0.333
GONEAM_00975	30S ribosomal protein S3	125	231	1	0.004	0.333		0.333
MPNNBP_11165	ribosome recycling factor	125	186	2	0.011	0.222	0.157	0.333
GILMCH_06225	hypothetical protein	4	56	4	0.071	0.222	0.091	0.333
HEEDGJ_07165	hypothetical protein	125	140	1	0.007	0.333		0.333
AAPKIE_01305	electron transfer flavoprotein subunit alpha	125	312	1	0.003	0.333		0.333
HMKGBL_03230	hypothetical protein	5	75	2	0.027	0.333	0.0	0.333
IPDDEA_01480	symmetrical bis(5'-nucleosyl)-tetraphosphatase	125	277	1	0.004	0.333		0.333
JPGGPH_11060	putative branched-chain amino acid permease(azaleucine resistance)	5	172	2	0.012	0.333	0.0	0.333
FDOLEH_04720	type I methionyl aminopeptidase	125	260	1	0.004	0.333		0.333
PDBIIP_02920	Integrase catalytic domain-containing protein	6	826	3	0.004	0.222	0.111	0.333
KHMBHM_10745	D-arabinose 5-phosphate isomerase	125	325	9	0.028	0.222	0.111	0.333
CEMIJF_02085	Type IV major pilin protein PilE1	2	143	3	0.021	0.185	0.128	0.333
CEMIJF_08550	Protein TraD	3	193	1	0.005	0.333		0.333
DPOILH_11265	Zeta toxin	7	402	1	0.002	0.333		0.333
NKPBLJ_04725	amino acid ABC transporter permease	117	223	3	0.013	0.259	0.128	0.333
LMPAAK_03705	Baseplate-J domain-containing protein	6	205	1	0.005	0.333		0.333
AAPKIE_02510	tRNA uridine-5-carboxymethylaminomethyl(34)synthesis GTPase MnmE	125	449	4	0.009	0.277	0.111	0.333
GBEPFH_08920	quinone-dependent dihydroorotate dehydrogenase	125	356	2	0.006	0.277	0.078	0.333
ELOKED_00755	Phage associated protein	97	120	4	0.033	0.25	0.106	0.333
IECMBI_11430	P-type conjugative transfer protein TrbL	7	543	5	0.009	0.311	0.05	0.333
GBEPFH_09105	Fusaric acid resistance protein family	125	376	4	0.011	0.222	0.128	0.333
CMGIPM_07080	GIY-YIG nuclease	97	95	1	0.011	0.333		0.333
HMKGBL_06790	amino acid ABC transporter permease	125	249	1	0.004	0.333		0.333
BOOKHB_04355	Penicillin-binding protein 2	2	162	3	0.019	0.332	0.001	0.333
JMMAGG_06155	hypothetical protein	2	101	2	0.02	0.222	0.157	0.333
HPHECO_06050	fructose-bisphosphate aldolase class II	125	355	1	0.003	0.333		0.333
EFGCPC_03580	hypothetical protein	66	48	6	0.125	0.185	0.091	0.333
